organ,AS,AS,AS,CT,B,B2,
large bowel,"colon descending, left",mucosa,Lamina propria,"CD8+ T
","CD3, CD7, CD2, CD5, TCRab, CD8","MGLL, TAGLN, CD3D, CD8A, CD2",
large bowel,"colon descending, left",mucosa,Lamina propria,macrophages,"HLA-DR, CD163, CD206, CD11b, CD68",CD14,
large bowel,"colon descending, left",mucosa,Lamina propria,eosinophils,"CD11b, CD294",,
large bowel,"colon descending, left",mucosa,Lamina propria,mast cells,"CD117, MCT",HDC,
large bowel,"colon descending, left",mucosa,Lamina propria,neutrophils,"CD15, CD16",,
large bowel,"colon descending, left",mucosa,Lamina propria,NK cells,"CD56, CD57, CD11c, NKG2D",,
large bowel,"colon descending, left",mucosa,Lamina propria,DCs,"HLA-DR, CD11c, CD123",,
large bowel,"colon descending, left",mucosa,Lamina propria,ILCs,"CD127, CD117, CD161",,
large bowel,"colon descending, left",mucosa,muscularis mucosa,muscle,aSMA,,
large bowel,"colon descending, left",submucosa,submucosa,nerves,"PDL1, CD56, PGP9.5",,
large bowel,"colon descending, left",submucosa,submucosa,endoethlial,"CD31, CD34, CD36","NOVA2, SOX17",
large bowel,"colon descending, left",submucosa,submucosa,lymphatic,"CD31, Podoplanin",,
large bowel,"colon descending, left",submucosa,submucosal plexus of Meissner,nerves,"PDL1, CD56, PGP9.5",,
large bowel,"colon descending, left",submucosa,submucosal plexus of Meissner,muscle,aSMA,,
large bowel,"colon descending, left",muscularis externa,circular/longitudinal muscle,muscle,aSMA,,
large bowel,"colon descending, left",muscularis externa,circular/longitudinal muscle,Interstitial cells of Cajal,"CD117, CD34",,
large bowel,"colon descending, left",muscularis externa,circular/longitudinal muscle,fibroblasts,"Col6A1, Col6A2","COL6A1, COL6A2",
large bowel,"colon descending, left",muscularis externa,circular/longitudinal muscle,endothelial,"CD31, CD34, CD36","NOVA2, SOX17",
large bowel,"colon descending, left",muscularis externa,circular/longitudinal muscle,nerves,"PDL1, CD56, PGP9.5",,
large bowel,"colon descending, left",muscularis externa,myenteric plexus of Auerbach,nerves ,"PDL1, CD56, PGP9.5",,
large bowel,"colon descending, left",muscularis externa,myenteric plexus of Auerbach,muscle,aSMA,,
large bowel,"colon descending, left",serosa,,mesothelial ,Cytokeratin,,
large bowel,"colon descending, left",serosa,connective tissue,fibroblasts,,"COL6A1, COL6A2",
large bowel,"colon descending, left",serosa,connective tissue,endothelial cells,,"NOVA2, SOX17",
large bowel,colon sigmoid,mucosa,Epithelium,epithelial stem cells,"CD34, SOX9, CD44","LGR5, ASCL2, CDHR1, BIRC3, MYL9",
large bowel,colon sigmoid,mucosa,Epithelium,Paneth,alpha Defensin 5a,"LYZ, DEFA5",
large bowel,colon sigmoid,mucosa,Epithelium,endocrine,"Chromogranin, Synaptophysin",CRYBA2,
large bowel,colon sigmoid,mucosa,Epithelium,absorptive ,,"CA2, SI",
large bowel,colon sigmoid,mucosa,Epithelium,goblet,,"MUC2, ITLN1, SLC26A2, CLCA4",
large bowel,colon sigmoid,mucosa,Epithelium,enterocytes,,"BEST4, CA7, NEURL1, HES1 ",
large bowel,colon sigmoid,mucosa,Epithelium,Tuft cells,,"DCLK1, IRF7, SELENBP1",
large bowel,colon sigmoid,mucosa,Lamina propria,endothelial,"CD31, CD34, CD36","CD36, SOX17",
large bowel,colon sigmoid,mucosa,Lamina propria,lymphatics,"CD31, Podoplanin",,
large bowel,colon sigmoid,mucosa,Lamina propria,myofibroblasts,,"TP53I3, DES, ACTG2, CNN1",
large bowel,colon sigmoid,mucosa,Lamina propria,fibroblasts,"Col6A1, Col6A2","COL6A1, COL6A2",
large bowel,colon sigmoid,mucosa,Lamina propria,nerves,"PDL1, CD56, PGP9.5",,
large bowel,colon sigmoid,mucosa,Lamina propria,M cell,Cytokeratin 7,,
large bowel,colon sigmoid,mucosa,Lamina propria,B cell,"CD21, CD19","MKI67, PAX5, MS4A1",
large bowel,colon sigmoid,mucosa,Lamina propria,plasma ,CD138,IGLL5,
large bowel,colon sigmoid,mucosa,Lamina propria,CD4+ T,"CD3, CD7, CD2, CD5, TCRab, CD4","CD3D, CD2, CD4",
large bowel,colon sigmoid,mucosa,Lamina propria,regulatory CD4+ T,"CD4, FOXP3, CD25","CD4, FOXP3",
large bowel,colon sigmoid,mucosa,Lamina propria,"CD8+ T
","CD3, CD7, CD2, CD5, TCRab, CD8","MGLL, TAGLN, CD3D, CD8A, CD2",
large bowel,colon sigmoid,mucosa,Lamina propria,macrophages,"HLA-DR, CD163, CD206, CD11b, CD68",CD14,
large bowel,colon sigmoid,mucosa,Lamina propria,eosinophils,"CD11b, CD294",,
large bowel,colon sigmoid,mucosa,Lamina propria,mast cells,"CD117, MCT",HDC,
large bowel,colon sigmoid,mucosa,Lamina propria,neutrophils,"CD15, CD16",,
large bowel,colon sigmoid,mucosa,Lamina propria,NK cells,"CD56, CD57, CD11c, NKG2D",,
