Data added by Shin Lin and Marc Halushka,,,,,,,,,,,,,,,,,
More (better) markers on the preprint: https://www.biorxiv.org/content/10.1101/2020.04.03.024075v1,,,,,,,,,,,,,,,,,
original table flattened for machine learning by Medina Sydykanova (Indiana University),,,,,,,,,,,,,,,,,
flattened table verified and formatting adjusted to match ASCT-B reporter requirements by Ellen M. Quardokus (Indiana University),,,,,,,,,,,,,,,,,
UBERON mappings done by Ellen M. Quardokus (Indiana University),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"It was estimated that roughly, this table covers about 95% of known AS, 50% of known CT, and 30% of known B. [revise as needed]",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Structure/Region,Structure/Region UBERON rdfs:label,Structure/Region UBERON ID,Substructure/Sub-region,Substructure_Sub-region UBERON rdfs:label,Substructure/Sub-region UBERON ID,Cell Types,CL rdfs:label,CL ID,Marker Subset,HGNC rdfs:label marker 1,HGNC ID marker 1,HGNC rdfs:label marker 2,HGNC ID marker 2,HGNC rdfs:label marker 3,HGNC ID marker 3,HGNC rdfs:label marker 4,HGNC ID marker 4
right atrium,right cardiac atrium,UBERON:0002078,sinoatrial node,sinoatrial node,UBERON:0002351,pacemaker cell,cardiac pacemaker cell of sinoatrial node,CL:1000477,"HCN4, Cx45",HCN4,HGNC:16882,Cx45,HGNC:4280,,,,
right atrium,right cardiac atrium,UBERON:0002078,myocardium,myocardium of atrium,UBERON:0002302,cardiomyocyte,cardiac muscle cell,CL:0000746,"TTN, MYH6, NPPA",TTN,HGNC:12403,MYH6,HGNC:7576,NPPA,HGNC:7939,,
right atrium,right cardiac atrium,UBERON:0002078,myocardium,myocardium of atrium,UBERON:0002302,fibroblast,cardiac atrium fibroblast,CL:2000067,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
right atrium,right cardiac atrium,UBERON:0002078,myocardium,myocardium of atrium,UBERON:0002302,macrophage,macrophage,CL:0000235,"CD14,C1QA,FOLR2",CD14,HGNC:1628,C1QA,HGNC:1241,FOLR2,HGNC:3793,,
right atrium,right cardiac atrium,UBERON:0002078,vasculature,vasculature,UBERON:0002049,endothelial cell,cardiac endothelial cell,CL:0010008,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
right atrium,right cardiac atrium,UBERON:0002078,vasculature,vasculature,UBERON:0002049,smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,"MYH11,TAGLN,ACTA2",MYH11,HGNC:7569,TAGLN,HGNC:11553,ACTA2,HGNC:130,,
right atrium,right cardiac atrium,UBERON:0002078,vasculature,vasculature,UBERON:0002049,fibroblast,cardiac atrium fibroblast,CL:2000067,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
atrioventricular junction,atrioventricular region,UBERON:0011820,left circumflex artery,circumflex branch of left coronary artery,UBERON:0035422,endothelial cell,endothelial cell of artery,CL:0002542,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
atrioventricular junction,atrioventricular region,UBERON:0011820,left circumflex artery,circumflex branch of left coronary artery,UBERON:0035422,smooth muscle cell,smooth muscle cell of the coronary artery,CL:0002592,"MYH11,TAGLN,ACTA2",MYH11,HGNC:7569,TAGLN,HGNC:11553,ACTA2,HGNC:130,,
atrioventricular junction,atrioventricular region,UBERON:0011820,left circumflex artery,circumflex branch of left coronary artery,UBERON:0035422,fibroblast,fibroblast,CL:0000057,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
atrioventricular junction,atrioventricular region,UBERON:0011820,coronary sinus,coronary sinus,UBERON:0005438,endothelial cell,endothelial cell of artery,CL:0002542,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
