Data added by Shin Lin and Marc Halushka,,,,,,,,,,,,,,,,,
More (better) markers on the preprint: https://www.biorxiv.org/content/10.1101/2020.04.03.024075v1,,,,,,,,,,,,,,,,,
original table flattened for machine learning by Medina Sydykanova (Indiana University),,,,,,,,,,,,,,,,,
flattened table verified and formatting adjusted to match ASCT-B reporter requirements by Ellen M. Quardokus (Indiana University),,,,,,,,,,,,,,,,,
UBERON mappings done by Ellen M. Quardokus (Indiana University),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"It was estimated that roughly, this table covers about 95% of known AS, 50% of known CT, and 30% of known B. [revise as needed]",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Structure/Region,Structure/Region UBERON rdfs:label,Structure/Region UBERON ID,Substructure/Sub-region,Substructure_Sub-region UBERON rdfs:label,Substructure/Sub-region UBERON ID,Cell Types,CL rdfs:label,CL ID,Marker Subset,HGNC rdfs:label marker 1,HGNC ID marker 1,HGNC rdfs:label marker 2,HGNC ID marker 2,HGNC rdfs:label marker 3,HGNC ID marker 3,HGNC rdfs:label marker 4,HGNC ID marker 4
atrioventricular junction,atrioventricular region,UBERON:0011820,coronary sinus,coronary sinus,UBERON:0005438,smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,"MYH11,TAGLN,ACTA2",MYH11,HGNC:7569,TAGLN,HGNC:11553,ACTA2,HGNC:130,,
atrioventricular junction,atrioventricular region,UBERON:0011820,coronary sinus,coronary sinus,UBERON:0005438,fibroblast,fibroblast,CL:0000057,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
atrioventricular junction,atrioventricular region,UBERON:0011820,atrioventricular node,atrioventricular node,UBERON:0002352,pacemaker cell,cardiac pacemaker cell of sinoatrial node,CL:1000477,"HCN4, Cx45",HCN4,HGNC:16882,Cx45,HGNC:4280,,,,
atrioventricular junction,atrioventricular region,UBERON:0011820,atrioventricular node,atrioventricular node,UBERON:0002352,adipocyte,fat cell,CL:0000136,"GPAM, LEP",GPAM,HGNC:24865,LEP,HGNC:6553,,,,
atrioventricular junction,atrioventricular region,UBERON:0011820,right coronary artery,right coronary artery,UBERON:0001625,endothelial cell,endothelial cell of artery,CL:0002542,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
atrioventricular junction,atrioventricular region,UBERON:0011820,right coronary artery,right coronary artery,UBERON:0001625,smooth muscle cell,smooth muscle cell of the coronary artery,CL:0002592,"MYH11,TAGLN,ACTA2",MYH11,HGNC:7569,TAGLN,HGNC:11553,ACTA2,HGNC:130,,
atrioventricular junction,atrioventricular region,UBERON:0011820,right coronary artery,right coronary artery,UBERON:0001625,fibroblast,fibroblast,CL:0000057,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
left atrium,left cardiac atrium,UBERON:0002079,myocardium,myocardium of atrium,UBERON:0002302,cardiomyocyte,cardiac muscle cell,CL:0000746,"TTN, MYH6, NPPA",TTN,HGNC:12403,MYH6,HGNC:7576,NPPA,HGNC:7939,,
left atrium,left cardiac atrium,UBERON:0002079,myocardium,myocardium of atrium,UBERON:0002302,pacemaker cell,cardiac pacemaker cell of sinoatrial node,CL:1000477,"HCN4, Cx45",HCN4,HGNC:16882,Cx45,HGNC:4280,,,,
left atrium,left cardiac atrium,UBERON:0002079,myocardium,myocardium of atrium,UBERON:0002302,fibroblast,cardiac atrium fibroblast,CL:2000067,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
left atrium,left cardiac atrium,UBERON:0002079,myocardium,myocardium of atrium,UBERON:0002302,macrophage,macrophage,CL:0000235,"CD14,C1QA,FOLR2",CD14,HGNC:1628,C1QA,HGNC:1241,FOLR2,HGNC:3793,,
left atrium,left cardiac atrium,UBERON:0002079,vasculature,vasculature,UBERON:0002049,endothelial cell,blood vessel endothelial cell,CL:0000071,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
left atrium,left cardiac atrium,UBERON:0002079,vasculature,vasculature,UBERON:0002049,smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,"MYH11,TAGLN,ACTA2",MYH11,HGNC:7569,TAGLN,HGNC:11553,ACTA2,HGNC:130,,
left atrium,left cardiac atrium,UBERON:0002079,vasculature,vasculature,UBERON:0002049,fibroblast,cardiac atrium fibroblast,CL:2000067,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
left ventricle,heart left ventricle,UBERON:0002084,myocardium,left ventricle myocardium,UBERON:0006566,cardiomyocyte,cardiac muscle cell,CL:0000746,"TTN, MYH6",TTN,HGNC:12403,MYH6,HGNC:7576,,,,
left ventricle,heart left ventricle,UBERON:0002084,myocardium,left ventricle myocardium,UBERON:0006566,Purkinje fiber cell,not in CL,not in CL,,,,,,,,,
left ventricle,heart left ventricle,UBERON:0002084,myocardium,left ventricle myocardium,UBERON:0006566,fibroblast,cardiac ventricle fibroblast,CL:2000066,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
left ventricle,heart left ventricle,UBERON:0002084,myocardium,left ventricle myocardium,UBERON:0006566,macrophage,macrophage,CL:0000235,"CD14,C1QA,FOLR2",CD14,HGNC:1628,C1QA,HGNC:1241,FOLR2,HGNC:3793,,
left ventricle,heart left ventricle,UBERON:0002084,vasculature,vasculature,UBERON:0002049,endothelial cell,blood vessel endothelial cell,CL:0000071,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
left ventricle,heart left ventricle,UBERON:0002084,vasculature,vasculature,UBERON:0002049,smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,"MYH11,TAGLN,ACTA2",MYH11,HGNC:7569,TAGLN,HGNC:11553,ACTA2,HGNC:130,,
left ventricle,heart left ventricle,UBERON:0002084,vasculature,vasculature,UBERON:0002049,fibroblast,cardiac ventricle fibroblast,CL:2000066,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
left ventricle,heart left ventricle,UBERON:0002084,vasculature,vasculature,UBERON:0002049,telocyte (interstitial like cell of cajal),not in CL,not in CL,"CD34,vimentin",CD34,HGNC:1662,vimentin,HGNC:12692,,,,
left ventricle,heart left ventricle,UBERON:0002084,vasculature,vasculature,UBERON:0002049,lymphocyte,lymphocyte,CL:0000542,"CD8A,NKG7,LCK",CD8A,HGNC:1706,NKG7,HGNC:7830,LCK,HGNC:6524,,
left ventricle,heart left ventricle,UBERON:0002084,vasculature,vasculature,UBERON:0002049,dendritic cell,"dendritic cell, human",CL:0001056,"CD11b, CD11c, CD103, CD205",CD11b,HGNC:6149,CD11c,HGNC:6152,CD103,HGNC:6147,CD205,HGNC:6729
left ventricle,heart left ventricle,UBERON:0002084,vasculature,vasculature,UBERON:0002049,adipocyte,fat cell,CL:0000136,"GPAM, LEP",GPAM,HGNC:24865,LEP,HGNC:6553,,,,
septum,interventricular septum,UBERON:0002094,left anterior descending artery,not found in UBERON,not found in UBERON,endothelial cell,endothelial cell of artery,CL:0002542,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
septum,interventricular septum,UBERON:0002094,left anterior descending artery,not found in UBERON,not found in UBERON,smooth muscle cell,blood vessel endothelial cell,CL:0000071,"MYH11,TAGLN,ACTA2",MYH11,HGNC:7569,TAGLN,HGNC:11553,ACTA2,HGNC:130,,
septum,interventricular septum,UBERON:0002094,left anterior descending artery,not found in UBERON,not found in UBERON,fibroblast,fibroblast,CL:0000057,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
septum,interventricular septum,UBERON:0002094,septal perforating arteries,not found in UBERON,not found in UBERON,endothelial cell,endothelial cell of artery,CL:0002542,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
septum,interventricular septum,UBERON:0002094,septal perforating arteries,not found in UBERON,not found in UBERON,smooth muscle cell,blood vessel endothelial cell,CL:0000071,"MYH11,TAGLN,ACTA2",MYH11,HGNC:7569,TAGLN,HGNC:11553,ACTA2,HGNC:130,,
septum,interventricular septum,UBERON:0002094,septal perforating arteries,not found in UBERON,not found in UBERON,fibroblast,fibroblast,CL:0000057,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
septum,interventricular septum,UBERON:0002094,bundle of His,atrioventricular bundle,UBERON:0002353,pacemaker cardiomyocyte,cardiac pacemaker cell of sinoatrial node,CL:1000477,"HCN4, Cx45",HCN4,HGNC:16882,Cx45,HGNC:4280,,,,
septum,interventricular septum,UBERON:0002094,myocardium,myocardium,UBERON:0002349,cardiomyocyte,cardiac muscle cell,CL:0000746,"TTN, MYH6",TTN,HGNC:12403,MYH6,HGNC:7576,,,,
septum,interventricular septum,UBERON:0002094,myocardium,myocardium,UBERON:0002349,Purkinje fiber cell,not in CL,not in CL,,,,,,,,,
septum,interventricular septum,UBERON:0002094,myocardium,myocardium,UBERON:0002349,fibroblast,fibroblast,CL:0000057,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
septum,interventricular septum,UBERON:0002094,myocardium,myocardium,UBERON:0002349,macrophage,macrophage,CL:0000235,"CD14,C1QA,FOLR2",CD14,HGNC:1628,C1QA,HGNC:1241,FOLR2,HGNC:3793,,
right ventricle,heart right ventricle,UBERON:0002080,myocardium,right ventricle myocardium,UBERON:0006567,cardiomyocyte,cardiac muscle cell,CL:0000746,"TTN, MYH6",TTN,HGNC:12403,MYH6,HGNC:7576,,,,
right ventricle,heart right ventricle,UBERON:0002080,myocardium,right ventricle myocardium,UBERON:0006567,Purkinje fiber cell,not in CL,not in CL,,,,,,,,,
right ventricle,heart right ventricle,UBERON:0002080,myocardium,right ventricle myocardium,UBERON:0006567,fibroblast,cardiac ventricle fibroblast,CL:2000066,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
right ventricle,heart right ventricle,UBERON:0002080,myocardium,right ventricle myocardium,UBERON:0006567,macrophage,macrophage,CL:0000235,"CD14,C1QA,FOLR2",CD14,HGNC:1628,C1QA,HGNC:1241,FOLR2,HGNC:3793,,
right ventricle,heart right ventricle,UBERON:0002080,vasculature,vasculature,UBERON:0002049,endothelial cell,blood vessel endothelial cell,CL:0000071,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
right ventricle,heart right ventricle,UBERON:0002080,vasculature,vasculature,UBERON:0002049,pericyte,pericyte,CL:0000669,"ABCC9,KCNJ8",ABCC9,HGNC:60,KCNJ8,HGNC:6269,,,,
right ventricle,heart right ventricle,UBERON:0002080,vasculature,vasculature,UBERON:0002049,smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,"MYH11,TAGLN,ACTA2",MYH11,HGNC:7569,TAGLN,HGNC:11553,ACTA2,HGNC:130,,
right ventricle,heart right ventricle,UBERON:0002080,vasculature,vasculature,UBERON:0002049,fibroblast,fibroblast,CL:0000057,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
right ventricle,heart right ventricle,UBERON:0002080,vasculature,vasculature,UBERON:0002049,endothelial cell,blood vessel endothelial cell,CL:0000071,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
right ventricle,heart right ventricle,UBERON:0002080,Moderator band,not found in UBERON,not found in UBERON,cardiomyocyte,cardiac muscle cell,CL:0000746,"TTN, MYH6",TTN,HGNC:12403,MYH6,HGNC:7576,,,,
right ventricle,heart right ventricle,UBERON:0002080,Moderator band,not found in UBERON,not found in UBERON,Purkinje fiber cell,not in CL,not in CL,,,,,,,,,
right ventricle,heart right ventricle,UBERON:0002080,Moderator band,not found in UBERON,not found in UBERON,fibroblast,fibroblast,CL:0000057,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
right ventricle,heart right ventricle,UBERON:0002080,Moderator band,not found in UBERON,not found in UBERON,macrophage,macrophage,CL:0000235,"CD14,C1QA,FOLR2",CD14,HGNC:1628,C1QA,HGNC:1241,FOLR2,HGNC:3793,,
right ventricle,heart right ventricle,UBERON:0002080,Moderator band,not found in UBERON,not found in UBERON,endothelial cell,blood vessel endothelial cell,CL:0000071,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
right ventricle,heart right ventricle,UBERON:0002080,Moderator band,not found in UBERON,not found in UBERON,smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,"MYH11,TAGLN,ACTA2",MYH11,HGNC:7569,TAGLN,HGNC:11553,ACTA2,HGNC:130,,
right ventricle,heart right ventricle,UBERON:0002080,Moderator band,not found in UBERON,not found in UBERON,fibroblast,fibroblast,CL:0000057,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
right ventricle,heart right ventricle,UBERON:0002080,Moderator band,not found in UBERON,not found in UBERON,telocyte (interstitial like cell of cajal),heart valve cell,CL:1000147,"CD34,vimentin",CD34,HGNC:1662,vimentin,HGNC:12692,,,,
right ventricle,heart right ventricle,UBERON:0002080,Moderator band,not found in UBERON,not found in UBERON,lymphocyte,lymphocyte,CL:0000542,"CD8A,NKG7,LCK",CD8A,HGNC:1706,NKG7,HGNC:7830,LCK,HGNC:6524,,
right ventricle,heart right ventricle,UBERON:0002080,Moderator band,not found in UBERON,not found in UBERON,dendritic cell,"dendritic cell, human",CL:0001056,"CD14,C1QA,FOLR2",CD14,HGNC:1628,C1QA,HGNC:1241,FOLR2,HGNC:3793,,
Cardial valve,Cardial valve,UBERON:0000946,Tricuspid valve,Tricuspid valve,UBERON:0002134,valve interstitial cell,not in CL,not in CL,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
Cardial valve,Cardial valve,UBERON:0000946,Tricuspid valve,Tricuspid valve,UBERON:0002134,endothelial cell,blood vessel endothelial cell,CL:0000071,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
Cardial valve,Cardial valve,UBERON:0000946,Pulmonary Valve,Pulmonary Valve,UBERON:0002146,valve interstitial cell,not in CL,not in CL,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
Cardial valve,Cardial valve,UBERON:0000946,Pulmonary Valve,Pulmonary Valve,UBERON:0002146,endothelial cell,blood vessel endothelial cell,CL:0000071,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
Cardial valve,Cardial valve,UBERON:0000946,Mitral valve,Mitral valve,UBERON:0002135,valve interstitial cell,not in CL,not in CL,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
Cardial valve,Cardial valve,UBERON:0000946,Mitral valve,Mitral valve,UBERON:0002135,endothelial cell,blood vessel endothelial cell,CL:0000071,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
Cardial valve,Cardial valve,UBERON:0000946,Aortic valve,Aortic valve,UBERON:0002137,valve interstitial cell,not in CL,not in CL,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
Cardial valve,Cardial valve,UBERON:0000946,Aortic valve,Aortic valve,UBERON:0002137,endothelial cell,blood vessel endothelial cell,CL:0000071,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
Epicardium,epicardium,UBERON:0002348,,,,mesothelial cell,mesothelial cell,CL:0000077,"CRT, AE1/AE3",CRT (CALR),HGNC:1455,AE1,HGNC:11027,AE3,HGNC:11029,,
Epicardium,epicardium,UBERON:0002348,,,,adipocyte,epicardial adipocyte,CL:1000309,"GPAM, LEP",GPAM,HGNC:24865,LEP,HGNC:6553,,,,
Epicardium,epicardium,UBERON:0002348,,,,Schwann Cell,Schwann cell,CL:0002573,"SOX10, S100",SOX10,HGNC:11190,S100,many variants,,,,
Epicardium,epicardium,UBERON:0002348,,,,smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,"MYH11,TAGLN,ACTA2",MYH11,HGNC:7569,TAGLN,HGNC:11553,ACTA2,HGNC:130,,
Epicardium,epicardium,UBERON:0002348,,,,fibroblast,fibroblast,CL:0000057,"PDGFRA, GSN",PDGFRA,HGNC:8803,GSN,HGNC:4620,,,,
Epicardium,epicardium,UBERON:0002348,,,,endothelial cell,blood vessel endothelial cell,CL:0000071,"PECAM1, VWF, CDH5",PECAM1 (CD31),HGNC:8823,VWF,HGNC:12726,CDH5,HGNC:1764,,
Epicardium,epicardium,UBERON:0002348,,,,macrophage,macrophage,CL:0000235,"CD14,C1QA,FOLR2",CD14,HGNC:1628,C1QA,HGNC:1241,FOLR2,HGNC:3793,,
Epicardium,epicardium,UBERON:0002348,,,,lymphocyte,lymphocyte,CL:0000542,"CD3, CD20",CD3,many variants,CD20,HGNC:7315,,,,
