This table was composed by Amy Bernard (Allen Institute),,,,,,,,
The Human Brain CCF is downloadable here: https://community.brain-map.org/t/allen-human-reference-atlas-3d-2020-new/405,,,,,,,,
"Citation: Ding, S.L., et al.  Comprehensive cellular‐resolution atlas of the adult human brain. Journal of Comparative Neurology, Volume 524:16, pages 3127–3481, 1 November 2016, DOI 10.1002/cne.24080.",,,,,,,,
 SEE HERE unflattened table: https://docs.google.com/spreadsheets/d/19m_xjwM5le7UKvt8966aEPA_a7HSCJBQY9Mq4qDe0ZQ/edit#gid=1644155102,,,,,,,,
Updated 10-06-2020 EMQ Note that only the motor cortex currently has cell types and biomarkers,,,,,,,,
Pertinent negatives/comments/numbering convention  https://portal.brain-map.org/explore/classes/nomenclature,,,,,,,,
flattened table verified and formatting adjusted to match ASCT-B reporter requirements by Ellen M. Quardokus (Indiana University),,,,,,,,
"This is for Adult human brain structure-based anatomy only;  cell types will map to these spatial designations.  Based on Allen Brain Atlas, CCF (3D), annotated by Song-Lin Ding ",,,,,,,,
Cell Types for M1 mapped by Jeremy Miller (draft version),,,,,,,,
,,,,,,,,
Structure/Region,Structure/Region,Structure/Region,Structure/Region,Structure/Region,Structure/Region,Cell type Class,specific cell type,BioMarker subset
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6 glutamatergic neuron with presumptive corticothalamic projections,Exc L5-6 FEZF2 FILIP1L,"LOC100128497, MCTP2, SEC16B, SULF1"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6 glutamatergic neuron with presumptive corticothalamic projections,Exc L5-6 FEZF2 SH2D1B,"ADAMTSL1, MEIS2, NLGN4Y, PAPSS2"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6b glutamatergic neuron,Exc L6 FEZF2 PDYN,"GBP2, PDYN"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6b glutamatergic neuron,Exc L6 FEZF2 FFAR4,"FER1L6_AS2, LOC105378486"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6b glutamatergic neuron,Exc L6 FEZF2 PROKR2,"LOC105371310, SLITRK6"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6b glutamatergic neuron,Exc L5-6 FEZF2 CFTR,"LOC105374392, NR4A2, SEMA3D"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6b glutamatergic neuron,Exc L6 FEZF2 KLK7,"LOC101927439, MDFIC"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6b glutamatergic neuron,Exc L6 FEZF2 POGK,"ADD3_AS1, LOC100132891, PCOLCE2"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5 glutamatergic neuron with presumptive extratelencephalic projections,Exc L5 FEZF2 CSN1S1,"LOC105373592, OPN4, VAT1L"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5 glutamatergic neuron with presumptive extratelencephalic projections,Exc L3-5 FEZF2 ASGR2,"LOC105376457, OR51E2"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5 glutamatergic neuron with presumptive extratelencephalic projections,Exc L3-5 FEZF2 LINC01107,"BTNL9, EDNRB"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5-6 glutamatergic neuron without presumptive long-range projections (near projecting),Exc L5 FEZF2 PKD2L1,"NPSR1_AS1, VGLL3"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5-6 glutamatergic neuron without presumptive long-range projections (near projecting),Exc L5 FEZF2 NREP-AS1,"ADAMTS12, CD36, LOC105370315"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5-6 glutamatergic neuron without presumptive long-range projections (near projecting),Exc L5 FEZF2 RNF144A-AS1,"CD36, LOC105369818, LOC105370019"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5-6 glutamatergic neuron without presumptive long-range projections (near projecting),Exc L5-6 FEZF2 IFNG-AS1,"LOC105369818, NPSR1_AS1"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5-6 glutamatergic neuron without presumptive long-range projections (near projecting),Exc L5-6 FEZF2 LPO,"LOC101928114, LOC105376372"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Oligodendrocyte precursor cell,OPC L1-6 PDGFRA COL20A1,"FAM222A, KIF25, TGFA"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Oligodendrocyte,Oligo L2-6 OPALIN MAP6D1,"ENPP2, LOC101927459"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Oligodendrocyte,Oligo L3-6 OPALIN ENPP6,"ENPP2, LINC01378, MBP, ST18"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Oligodendrocyte,Oligo L2-6 OPALIN FTH1P3,"STK32A, VCAN"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Oligodendrocyte,Oligo L5-6 OPALIN LDLRAP1,"LOC105376917, OPALIN, RNF219_AS1"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Astrocyte,Astro L1-6 FGFR3 AQP1,TNC
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Astrocyte,Astro L1 FGFR3 SERPINI2,"CFAP47, WDR49"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Astrocyte,Astro L1-6 FGFR3 PLCG1,"COL5A3, LOC105376917"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Endothelial cell,Endo L2-5 NOSTRIN SRGN,CLDN5
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Vascular leptomeningeal cells,VLMC L1-5 PDGFRA COLEC12,"COL1A2, COLEC12"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Microglia,Micro L1-6 TYROBP CD74,"APBB1IP, P2RY12"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Pericyte,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Vascular smooth muscle cell,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,superior frontal gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,middle frontal gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,inferior frontal gyrus,"inferior frontal gyrus, triangular part",,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,inferior frontal gyrus,"inferior frontal gyrus, opercular part",,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,inferior frontal gyrus,"inferior frontal gyrus, orbital part",,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,gyrus rectus (straight gyrus),,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,medial orbital gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,anterior intermediate orbital gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,posterior intermediate orbital gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,lateral orbital gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,"paracentral lobule, rostral part",,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,paracingulate gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,frontal operculum,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,orbital operculum,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,rostral gyrus,superior rostral gyrus,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,rostral gyrus,inferior rostral gyrus,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,lateral olfactory gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,frontomarginal gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,frontal pole,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,parietal lobe,postcentral gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,parietal lobe,supraparietal lobule,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,parietal lobe,inferior parietal lobule,supramarginal gyrus,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,parietal lobe,inferior parietal lobule,angular gyrus,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,parietal lobe,precuneus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,parietal lobe,"paracentral lobule, caudal part",,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,parietal lobe,parietal operculum,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,temporal lobe,superior temporal gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,temporal lobe,middle temporal gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,temporal lobe,inferior temporal gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,temporal lobe,"occipitotemporal (fusiform) gyrus, temporal part",perirhinal gyrus ( rostral part of FuGt),,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,temporal lobe,transverse temporal gyrus (Heschl's gyrus),rostral (anterior) transverse temporal gyrus,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,temporal lobe,transverse temporal gyrus (Heschl's gyrus),caudal (posterior) transverse temporal gyrus,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,temporal lobe,planum temporale,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,temporal lobe,temporal pole,perirhinal lobule,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,temporal lobe,planum polare,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,occipital lobe,occipital pole,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,occipital lobe,occipitoparietal transition region,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,occipital lobe,occipitotemporal transition region,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,occipital lobe,cuneus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,occipital lobe,lingual gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,occipital lobe,"occipitotemporal (fusiform) gyrus, occipital part",,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,occipital lobe,inferior occipital gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,occipital lobe,superior occipital gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,insular lobe,long insular gyri,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,insular lobe,short insular gyri,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,limbic lobe,cingulate gyrus,"cingulate gyrus, rostral (anterior) part",,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,limbic lobe,cingulate gyrus,"cingulate gyrus, caudal (posterior) part",,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,limbic lobe,cingulate gyrus,"cingulate gyrus, retrospleninal part",,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,limbic lobe,cingulo-parahippocampal isthmus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,limbic lobe,subcallosal gyrus (parolfactory gyrus),,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,limbic lobe,paraterminal gyrus,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,limbic lobe,parahippocampal gyrus,anterior parahippocampal gyrus,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,limbic lobe,parahippocampal gyrus,posterior parahippocampal gyrus,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,limbic lobe,parahippocampal gyrus,uncus of parahippocampal gyrus,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,limbic lobe,hippocampal gyrus (formation),head of hippocampus,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,limbic lobe,hippocampal gyrus (formation),body of hippocampus,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,limbic lobe,hippocampal gyrus (formation),subicular complex,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,limbic lobe,prepiriform region,,,,
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,limbic lobe,Olfactory bulb,,,,
forebrain (prosencephalon),gray matter of forebrain,amygdaloid complex,anterior amygdalar area,,,,,
forebrain (prosencephalon),gray matter of forebrain,amygdaloid complex,anterior cortical nucleus,,,,,
forebrain (prosencephalon),gray matter of forebrain,amygdaloid complex,posterior cortical nucleus,,,,,
forebrain (prosencephalon),gray matter of forebrain,amygdaloid complex,medial nucleus,,,,,
forebrain (prosencephalon),gray matter of forebrain,amygdaloid complex,lateral nucleus,,,,,
forebrain (prosencephalon),gray matter of forebrain,amygdaloid complex,basolateral nucleus,,,,,
forebrain (prosencephalon),gray matter of forebrain,amygdaloid complex,basomedial nucleus,,,,,
forebrain (prosencephalon),gray matter of forebrain,amygdaloid complex,central nuclear group,,,,,
forebrain (prosencephalon),gray matter of forebrain,amygdaloid complex,amygdalohippocampal area,,,,,
forebrain (prosencephalon),gray matter of forebrain,amygdaloid complex,bed nucleus of stria terminalis,,,,,
forebrain (prosencephalon),gray matter of forebrain,basal nuclei (basal ganglia),caudate nucleus,,,,,
forebrain (prosencephalon),gray matter of forebrain,basal nuclei (basal ganglia),putamen,,,,,
forebrain (prosencephalon),gray matter of forebrain,basal nuclei (basal ganglia),mucleus accumbens,,,,,
forebrain (prosencephalon),gray matter of forebrain,basal nuclei (basal ganglia),"globus pallidus, internal",,,,,
forebrain (prosencephalon),gray matter of forebrain,basal nuclei (basal ganglia),"globus pallidus, external",,,,,
forebrain (prosencephalon),gray matter of forebrain,claustrum,,,,,,
forebrain (prosencephalon),gray matter of forebrain,basal forebrain,septal nuclei,,,,,
forebrain (prosencephalon),gray matter of forebrain,basal forebrain,substantia Innominata,,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,dorsal thalamus,anterior nuclear complex,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,dorsal thalamus,mediodorsal nucleus of thalamus,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,dorsal thalamus,reunions nucleus of thalamus,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,dorsal thalamus,lateral posterior nucleus,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,dorsal thalamus,pulvinar of thalamus,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,dorsal thalamus,ventral anterior nucleus,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,dorsal thalamus,ventral lateral nucleus,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,dorsal thalamus,ventral posterior medial nucleus,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,dorsal thalamus,ventral posterior lateral nucleus,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,dorsal thalamus,lateral geniculate nuclei,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,dorsal thalamus,medial geniculate nuclei,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,dorsal thalamus,parafascicular nucleus,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,dorsal thalamus,centromedian nucleus,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,dorsal thalamus,midline nuclear complex,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,ventral thalamus,zona Incerta,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,epithalamus,habenular nuclei,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,epithalamus,paraventricular nucleus of thalamus,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,epithalamus,pineal body,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,reticular formation of thalamus,,,,,
forebrain (prosencephalon),gray matter of forebrain,thalamus,subthalamic nucleus (subthalamus),,,,,
forebrain (prosencephalon),gray matter of forebrain,hypothalamus,preoptic region,,,,,
forebrain (prosencephalon),gray matter of forebrain,hypothalamus,supraoptic region,,,,,
forebrain (prosencephalon),gray matter of forebrain,hypothalamus,tuberal region,,,,,
forebrain (prosencephalon),gray matter of forebrain,hypothalamus,mammillary region,mammillary nucleus,,,,
forebrain (prosencephalon),white matter of forebrain,anterior commissure,,,,,,
forebrain (prosencephalon),white matter of forebrain,corpus callosum (midline portion),,,,,,
forebrain (prosencephalon),white matter of forebrain,fornix,,,,,,
forebrain (prosencephalon),white matter of forebrain,internal capsule,,,,,,
forebrain (prosencephalon),white matter of forebrain,mammillothalamic tract,,,,,,
forebrain (prosencephalon),white matter of forebrain,olfactory tract,,,,,,
forebrain (prosencephalon),white matter of forebrain,optic radiation,,,,,,
forebrain (prosencephalon),white matter of forebrain,optic tract,,,,,,
forebrain (prosencephalon),ventricle of forebrain,lateral ventricles,anterior horn of lateral ventricle,,,,,
forebrain (prosencephalon),ventricle of forebrain,lateral ventricles,body of lateral ventricle,,,,,
forebrain (prosencephalon),ventricle of forebrain,lateral ventricles,atrium of lateral ventricle,,,,,
forebrain (prosencephalon),ventricle of forebrain,lateral ventricles,posterior horn of lateral ventricle,,,,,
forebrain (prosencephalon),ventricle of forebrain,lateral ventricles,inferior horn of lateral ventricle,,,,,
forebrain (prosencephalon),ventricle of forebrain,third ventricle,,,,,,
midbrain (mesencephalon),gray matter of midbrain,Pretectal region,,,,,,
midbrain (mesencephalon),gray matter of midbrain,midbrain tegmentum,,,,,,
midbrain (mesencephalon),gray matter of midbrain,periaqueductal gray substance,,,,,,
midbrain (mesencephalon),gray matter of midbrain,red nucleus,,,,,,
midbrain (mesencephalon),gray matter of midbrain,substantia nigra,,,,,,
midbrain (mesencephalon),gray matter of midbrain,superior colliculus,,,,,,
midbrain (mesencephalon),gray matter of midbrain,inferior colliculus,,,,,,
midbrain (mesencephalon),white matter of midbrain,cerebral peduncle,,,,,,
midbrain (mesencephalon),ventricle of midbrain (cerebral aqueduct),,,,,,,
hindbrain (rhombencephalon),gray matter of hindbrain,cerebellum,cerebellar cortex,,,,,
hindbrain (rhombencephalon),gray matter of hindbrain,cerebellum,paravermis of cerebellum,,,,,
hindbrain (rhombencephalon),gray matter of hindbrain,cerebellum,lateral hemisphere of cerebellum,,,,,
hindbrain (rhombencephalon),gray matter of hindbrain,cerebellum,cerebellar vermis,,,,,
hindbrain (rhombencephalon),gray matter of hindbrain,cerebellum,cerebellar deep nuclei,,,,,
hindbrain (rhombencephalon),gray matter of hindbrain,pons,pontine tegmentum,vestibular nuclei,,,,
hindbrain (rhombencephalon),gray matter of hindbrain,pons,pontine tegmentum,parabrachial nuclei,,,,
hindbrain (rhombencephalon),gray matter of hindbrain,pons,basilar part of pons (Pontine nuclei),,,,,
hindbrain (rhombencephalon),gray matter of hindbrain,medulla oblongata,tegmentum of the medulla,spinal trigeminal nucleus,,,,
hindbrain (rhombencephalon),gray matter of hindbrain,medulla oblongata,tegmentum of the medulla,inferior olive,,,,
hindbrain (rhombencephalon),white matter of hindbrain,pyramidal tract,,,,,,
hindbrain (rhombencephalon),white matter of hindbrain,superior cerebellar peduncle,,,,,,
hindbrain (rhombencephalon),white matter of hindbrain,middle cerebellar peduncle,,,,,,
hindbrain (rhombencephalon),white matter of hindbrain,inferior cerebellar peduncle,,,,,,
hindbrain (rhombencephalon),ventricles of hindbrain,fourth ventricle,,,,,,
hindbrain (rhombencephalon),ventricles of hindbrain,central canal of medulla oblongata,,,,,,
