This table was composed by Amy Bernard (Allen Institute),,,,,,,,
The Human Brain CCF is downloadable here: https://community.brain-map.org/t/allen-human-reference-atlas-3d-2020-new/405,,,,,,,,
"Citation: Ding, S.L., et al.  Comprehensive cellular‐resolution atlas of the adult human brain. Journal of Comparative Neurology, Volume 524:16, pages 3127–3481, 1 November 2016, DOI 10.1002/cne.24080.",,,,,,,,
 SEE HERE unflattened table: https://docs.google.com/spreadsheets/d/19m_xjwM5le7UKvt8966aEPA_a7HSCJBQY9Mq4qDe0ZQ/edit#gid=1644155102,,,,,,,,
Updated 10-06-2020 EMQ Note that only the motor cortex currently has cell types and biomarkers,,,,,,,,
Pertinent negatives/comments/numbering convention  https://portal.brain-map.org/explore/classes/nomenclature,,,,,,,,
flattened table verified and formatting adjusted to match ASCT-B reporter requirements by Ellen M. Quardokus (Indiana University),,,,,,,,
"This is for Adult human brain structure-based anatomy only;  cell types will map to these spatial designations.  Based on Allen Brain Atlas, CCF (3D), annotated by Song-Lin Ding ",,,,,,,,
Cell Types for M1 mapped by Jeremy Miller (draft version),,,,,,,,
,,,,,,,,
Structure/Region,Structure/Region,Structure/Region,Structure/Region,Structure/Region,Structure/Region,Cell type Class,specific cell type,BioMarker subset
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L1-3 VIP CHRNA2,"EYA4, LOC105373642, PPP1R1C"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L2 VIP SLC6A16,"KCNT2, LOC105370456"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L1 VIP KLHDC8B,"ITGBL1, SLITRK4"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L3-5 VIP IGDCC3,"EREG, NOX4"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L1-5 VIP SMOC1,"ANGPT1, SMOC1, VIP"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L3-5 VIP HS3ST3A1,"ABI3BP, IQGAP2, SLC22A3"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L5-6 VIP COL4A3,"ABI3BP, KCTD12, PARD3B"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L1-5 VIP CD27-AS1,"ANKFN1, EGFEM1P, IQGAP2"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L2-5 VIP BSPRY,"LOC101927078, PDE3A, ST18"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L2-5 VIP SOX11,"ADAMTSL1, HTR2C, THSD7B"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L3-6 VIP ZIM2-AS1,"CXCL14, PENK"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L1-5 VIP PHLDB3,"EGF, THSD7B"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L1-5 VIP LINC01013,"DACH2, SRGAP1, THSD7B"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L3-6 VIP UG0898H09,"GALNT10, LINC01411, LOC105373454"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L3-5 VIP TAC3,"COL19A1, SOX2_OT, TSHZ2"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L1-6 SST NPY (Sset Chodl),NPY
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L3-5 SST CDH3,"FREM1, NPNT, QRFPR"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L5 SST RPL35AP11,"EDNRA, FREM1, TRHDE"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L5-6 SST ISX,"COL19A1, TRPM3"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L5-6 PVALB SST CRHR2,"HPGD, RGS5, SPON1"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L3-5 SST OR5AH1P,"ADAMTS5, FBXL7, SST"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L3-5 SST GGTLC3,"EYS, RELN"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L2-3 SST NMU,"HPSE2, NOS1, PIEZO2"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L5-6 SST PAWR,"EPB41L4A, NDST4, TRHDE"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L5-6 SST PIK3CD,"KLHL14, LOC100996671"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L1-2 SST CCNJL,"CALB1, SPHKAP, TMEM132C"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L1-3 SST FAM20A,"PCSK5, TAC1"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L1-2 SST PRRT4,"LOC101927843, LOC101929028"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L5-6 SST BEAN1,"ADAMTSL1, SEMA5A, THSD7B, TRHDE"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L5-6 SST DNAJC14,"HGF, ITGA1, STON2"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L5-6 SST C4orf26,"ADAMTS20, PENK, SPON1"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L5-6 SST FBN2,"HCRTR2, KLHL1"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L5-6 SST KLHL1,"KLHL14, NDST4, SLC17A8"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SST class GABAergic neuron,Inh L6 SST TH,"LOC100128108, TH"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,PVALB class GABAergic neuron,Inh L5-6 PVALB KCNIP2,"GPC5, NPFFR2, VAV3"
